nCPUs,expN,url,timeGettingFile,timeComputing
1.0,0,http://content-server-service:9090/files/file35.dat,1.1920928955078125e-06,0.03744387626647949
1.0,0,http://content-server-service:9090/files/file37.dat,2.384185791015625e-07,0.0289309024810791
1.0,0,http://content-server-service:9090/files/file38.dat,1.430511474609375e-06,0.030450820922851562
1.0,0,http://content-server-service:9090/files/file39.dat,1.1920928955078125e-06,0.036429405212402344
1.0,0,http://content-server-service:9090/files/file40.dat,2.384185791015625e-07,0.02977752685546875
1.0,0,http://content-server-service:9090/files/file41.dat,1.430511474609375e-06,0.02989482879638672
1.0,0,http://content-server-service:9090/files/file43.dat,1.430511474609375e-06,0.02908158302307129
1.0,0,http://content-server-service:9090/files/file42.dat,1.1920928955078125e-06,0.029738903045654297
1.0,0,http://content-server-service:9090/files/file44.dat,4.76837158203125e-07,0.030179738998413086
1.0,0,http://content-server-service:9090/files/file47.dat,4.76837158203125e-07,0.027251243591308594
1.0,0,http://content-server-service:9090/files/file46.dat,9.5367431640625e-07,0.029876232147216797
1.0,0,http://content-server-service:9090/files/file45.dat,1.1920928955078125e-06,0.03499126434326172
1.0,0,http://content-server-service:9090/files/file48.dat,4.76837158203125e-07,0.049756765365600586
1.0,0,http://content-server-service:9090/files/file49.dat,4.76837158203125e-07,0.02822136878967285
1.0,0,http://content-server-service:9090/files/file50.dat,7.152557373046875e-07,0.027194738388061523
1.0,1,http://content-server-service:9090/files/file1.dat,1.1920928955078125e-06,0.030843496322631836
1.0,1,http://content-server-service:9090/files/file2.dat,9.5367431640625e-07,0.02975916862487793
1.0,1,http://content-server-service:9090/files/file4.dat,1.1920928955078125e-06,0.028528690338134766
1.0,1,http://content-server-service:9090/files/file3.dat,1.1920928955078125e-06,0.031125545501708984
1.0,1,http://content-server-service:9090/files/file5.dat,2.384185791015625e-07,0.028500795364379883
1.0,1,http://content-server-service:9090/files/file6.dat,1.1920928955078125e-06,0.03008127212524414
1.0,1,http://content-server-service:9090/files/file7.dat,1.430511474609375e-06,0.03438425064086914
1.0,1,http://content-server-service:9090/files/file8.dat,4.76837158203125e-07,0.028096914291381836
1.0,1,http://content-server-service:9090/files/file9.dat,1.430511474609375e-06,0.02962803840637207
1.0,1,http://content-server-service:9090/files/file10.dat,1.430511474609375e-06,0.028757333755493164
1.0,1,http://content-server-service:9090/files/file12.dat,9.5367431640625e-07,0.029251575469970703
1.0,1,http://content-server-service:9090/files/file11.dat,2.384185791015625e-07,0.042339324951171875
1.0,1,http://content-server-service:9090/files/file13.dat,9.5367431640625e-07,0.029873371124267578
1.0,1,http://content-server-service:9090/files/file14.dat,1.1920928955078125e-06,0.029664039611816406
1.0,1,http://content-server-service:9090/files/file15.dat,4.76837158203125e-07,0.027740478515625
1.0,1,http://content-server-service:9090/files/file16.dat,1.1920928955078125e-06,0.028782367706298828
1.0,1,http://content-server-service:9090/files/file17.dat,1.430511474609375e-06,0.03366804122924805
1.0,1,http://content-server-service:9090/files/file19.dat,1.430511474609375e-06,0.029906034469604492
1.0,1,http://content-server-service:9090/files/file18.dat,4.76837158203125e-07,0.06147146224975586
1.0,1,http://content-server-service:9090/files/file20.dat,9.5367431640625e-07,0.02949213981628418
1.0,1,http://content-server-service:9090/files/file21.dat,1.430511474609375e-06,0.031554460525512695
1.0,1,http://content-server-service:9090/files/file22.dat,7.152557373046875e-07,0.03174233436584473
1.0,1,http://content-server-service:9090/files/file23.dat,1.1920928955078125e-06,0.030416488647460938
1.0,1,http://content-server-service:9090/files/file24.dat,1.1920928955078125e-06,0.029576539993286133
1.0,1,http://content-server-service:9090/files/file26.dat,2.86102294921875e-06,0.029406309127807617
1.0,1,http://content-server-service:9090/files/file27.dat,1.1920928955078125e-06,0.030145883560180664
1.0,1,http://content-server-service:9090/files/file25.dat,2.384185791015625e-07,0.05434703826904297
1.0,1,http://content-server-service:9090/files/file28.dat,9.5367431640625e-07,0.03013443946838379
1.0,1,http://content-server-service:9090/files/file29.dat,9.5367431640625e-07,0.03331184387207031
1.0,1,http://content-server-service:9090/files/file30.dat,4.76837158203125e-07,0.030379295349121094
1.0,1,http://content-server-service:9090/files/file31.dat,1.1920928955078125e-06,0.030646085739135742
1.0,1,http://content-server-service:9090/files/file32.dat,9.5367431640625e-07,0.02913951873779297
1.0,1,http://content-server-service:9090/files/file34.dat,9.5367431640625e-07,0.029477834701538086
1.0,1,http://content-server-service:9090/files/file33.dat,7.152557373046875e-07,0.027687549591064453
1.0,1,http://content-server-service:9090/files/file35.dat,9.5367431640625e-07,0.029499292373657227
1.0,1,http://content-server-service:9090/files/file36.dat,1.430511474609375e-06,0.029467105865478516
