cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.28182220458984375,1.6450881958007812e-05,4.76837158203125e-07,0.254819393157959,9.5367431640625e-07,0.5951766967773438,latency_loss,0.65,0.65,0.65,0
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.2574779987335205,3.147125244140625e-05,4.76837158203125e-07,0.3130607604980469,9.5367431640625e-07,0.6262803077697754,latency_loss,0.65,0.65,0.65,1
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.2774512767791748,1.52587890625e-05,7.152557373046875e-07,0.3356802463531494,9.5367431640625e-07,0.6779663562774658,latency_loss,0.747,0.747,0.747,2
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.25205016136169434,1.5497207641601562e-05,7.152557373046875e-07,0.24994778633117676,1.1920928955078125e-06,0.5563173294067383,latency_loss,0.577,0.577,0.577,3
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.296921968460083,1.5974044799804688e-05,7.152557373046875e-07,0.25667309761047363,2.384185791015625e-06,0.6211378574371338,latency_loss,0.649,0.649,0.649,4
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.2410433292388916,1.9073486328125e-05,7.152557373046875e-07,0.29784655570983887,9.5367431640625e-07,0.5997719764709473,latency_loss,0.634,0.634,0.634,5
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.3170356750488281,1.9073486328125e-05,4.76837158203125e-07,0.34978818893432617,1.430511474609375e-06,0.7297828197479248,latency_loss,0.862,0.862,0.862,6
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.28039002418518066,1.3113021850585938e-05,4.76837158203125e-07,0.2658407688140869,9.5367431640625e-07,0.6086792945861816,latency_loss,0.638,0.638,0.638,7
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.2580604553222656,1.4781951904296875e-05,7.152557373046875e-07,0.25388169288635254,1.1920928955078125e-06,0.5758168697357178,latency_loss,0.613,0.613,0.613,8
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,1.0,0.26999831199645996,1.4781951904296875e-05,9.5367431640625e-07,0.2723565101623535,1.1920928955078125e-06,0.6003203392028809,latency_loss,0.657,0.657,0.657,9
