cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,0.7,1.0,0.7,0.23830246925354004,1.0967254638671875e-05,0.31128621101379395,3.337860107421875e-06,latency_loss,0.621,0.621,0.5495986938476562,3
1,1,1Gi,1.0,0.7,1.0,0.7,0.24745392799377441,1.239776611328125e-05,0.26135754585266113,1.9073486328125e-06,latency_loss,0.575,0.575,0.5088214874267578,4
1,1,1Gi,1.0,0.7,1.0,0.4,0.23514795303344727,1.3113021850585938e-05,0.25954222679138184,2.1457672119140625e-06,latency_loss,0.567,0.567,0.4947002172470093,0
1,1,1Gi,1.0,0.7,1.0,0.4,0.23540210723876953,3.0517578125e-05,0.2619893550872803,3.337860107421875e-06,latency_loss,0.624,0.624,0.4974141597747803,1
1,1,1Gi,1.0,0.7,1.0,0.4,0.24331998825073242,1.2874603271484375e-05,0.2601935863494873,2.384185791015625e-06,latency_loss,0.571,0.571,0.5035235404968261,2
1,1,1Gi,1.0,0.7,1.0,0.4,0.2397770881652832,7.152557373046875e-06,0.26657938957214355,3.337860107421875e-06,latency_loss,0.578,0.578,0.5063628196716309,3
1,1,1Gi,1.0,0.7,1.0,0.4,0.2328023910522461,1.2874603271484375e-05,0.26270389556884766,3.0994415283203125e-06,latency_loss,0.557,0.557,0.4955165386199951,4
1,1,1Gi,1.0,0.7,1.0,0.1,0.23656678199768066,1.2874603271484375e-05,0.2602574825286865,2.86102294921875e-06,latency_loss,0.589,0.589,0.49683356285095215,0
1,1,1Gi,1.0,0.7,1.0,0.1,0.23720431327819824,1.3589859008789062e-05,0.2613201141357422,2.86102294921875e-06,latency_loss,0.59,0.59,0.49853422641754147,1
1,1,1Gi,1.0,0.7,1.0,0.1,0.2779719829559326,9.298324584960938e-06,0.2649190425872803,3.0994415283203125e-06,latency_loss,0.67,0.67,0.5428978443145751,2
1,1,1Gi,1.0,0.7,1.0,0.1,0.25505518913269043,1.1920928955078125e-05,0.2635805606842041,3.337860107421875e-06,latency_loss,0.597,0.597,0.5186444282531738,3
