cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,1.0,0.2518942356109619,6.9141387939453125e-06,1.6689300537109375e-06,0.5369689464569092,1.1920928955078125e-06,0.8449022769927979,latency_loss,0.876,0.876,1.1505016803741455,2
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,1.0,0.24413347244262695,3.62396240234375e-05,9.5367431640625e-07,0.4975411891937256,1.1920928955078125e-06,0.8037295341491699,latency_loss,0.878,0.878,1.09765465259552,3
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,1.0,0.20761942863464355,6.9141387939453125e-06,1.6689300537109375e-06,0.5651504993438721,2.384185791015625e-06,0.8420379161834717,latency_loss,0.873,0.873,1.1061818599700928,4
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,0.1,0.2272329330444336,8.821487426757812e-06,1.430511474609375e-06,0.8058443069458008,1.430511474609375e-06,1.13462233543396,latency_loss,1.161,1.161,0.4212899923324585,0
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,0.1,0.20556640625,5.245208740234375e-06,9.5367431640625e-07,0.7242922782897949,1.1920928955078125e-06,1.0280091762542725,latency_loss,1.078,1.078,0.38080308437347415,1
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,0.1,0.21104741096496582,5.0067901611328125e-06,9.5367431640625e-07,0.732691764831543,2.384185791015625e-06,1.0257246494293213,latency_loss,1.056,1.056,0.3868965387344361,2
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,0.1,0.24823498725891113,8.344650268554688e-06,9.5367431640625e-07,0.7076897621154785,2.384185791015625e-06,1.0750432014465332,latency_loss,1.146,1.146,0.4265191078186035,3
1,1,1Gi,1.0,1.0,0.1,0.1,1.0,0.1,0.22317123413085938,6.9141387939453125e-06,1.1920928955078125e-06,0.6978306770324707,1.1920928955078125e-06,1.0400545597076416,latency_loss,1.068,1.068,0.3969679832458496,4
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,1.0,0.23010468482971191,1.4543533325195312e-05,9.5367431640625e-07,0.49033379554748535,1.6689300537109375e-06,0.7930803298950195,latency_loss,0.821,0.821,1.0722332000732422,0
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,1.0,0.26083946228027344,1.3113021850585938e-05,1.430511474609375e-06,0.4966726303100586,2.86102294921875e-06,0.8184733390808105,latency_loss,0.843,0.843,1.128993606567383,1
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,1.0,0.25765252113342285,7.62939453125e-06,7.152557373046875e-07,0.5353028774261475,3.337860107421875e-06,0.8636071681976318,latency_loss,0.94,0.94,1.1747980117797852,2
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,1.0,0.2121572494506836,6.67572021484375e-06,1.6689300537109375e-06,0.49786853790283203,1.430511474609375e-06,0.7668986320495605,latency_loss,0.807,0.807,1.028849720954895,3
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,1.0,0.25113677978515625,5.4836273193359375e-06,1.9073486328125e-06,0.4984920024871826,2.6226043701171875e-06,0.824676513671875,latency_loss,0.856,0.856,1.125668430328369,4
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,0.1,0.24332141876220703,6.9141387939453125e-06,1.1920928955078125e-06,0.7565755844116211,3.814697265625e-06,1.0833590030670166,latency_loss,1.168,1.168,0.4273222923278809,0
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,0.1,0.23519492149353027,6.4373016357421875e-06,1.1920928955078125e-06,0.8009717464447021,4.291534423828125e-06,1.1187117099761963,latency_loss,1.146,1.146,0.42717025279998777,1
1,1,1Gi,1.0,1.0,0.1,0.1,0.1,0.1,0.26402831077575684,8.58306884765625e-06,2.384185791015625e-06,0.8274774551391602,3.0994415283203125e-06,1.2203724384307861,latency_loss,1.247,1.247,0.46882243156433107,2
